Package |	License	|Source of License Information|	Comments|	License/Copyright Links/References
autotools-dev |	GPL-3	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/a/autotools-dev/autotools-dev_20150820.1/copyright
binutils |	GPL-2	|WICC4D|	NA|	NA
bison |	GPL-3	|WICC4D|	NA|	NA
bundler-1.14.6 |	MIT , Apache-2.0	|WICC4D|	0.3.0 version comes under  Apache-2.0 and rest versions are covered under MIT. Part of (Ruby Gem) Bundler|	NA
byacc |	 MIT	|WICC4D CLI|	NA|	NA
ca-certificates      |	GPL-2+, MPL-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/c/ca-certificates/ca-certificates_20160104ubuntu1/copyright
camlp4 |	LGPL-2-exc	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/c/camlp4/camlp4_4.02.1+3-2/copyright
collectd |	GPL-2.0, BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause	|WICC4D|	NA|	NA
collectd-core |	GPL-2.0, BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause	|WICC4D|	NA|	NA
cpp |	 BSD-4-Clause	|WICC4D CLI|	NA|	NA
cpp-4.9 |	GPL-3+	|openhub.net|	NA|	https://www.openhub.net/p/gcc
cpp-5 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
dvipng |	 GPL-2	|WICC4D CLI|	NA|	NA
fakeroot |	GPL, Artistic	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/f/fakeroot/fakeroot_1.20.2-1ubuntu1/copyright
file |	BSD-3-Clause	|WICC4D CLI|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/f/fonts-dejavu/fonts-dejavu_2.35-1/copyright
fontconfig |	Webware Python	|WICC4D|	NA|	NA
fontconfig-config |	Webware Python	|WICC4D|	part of fontconfig|	http://changelogs.ubuntu.com/changelogs/pool/main/f/fonts-dejavu/fonts-dejavu_2.35-1/copyright
fonts-dejavu-core |	bitstream-vera, GPL-2+	|ubuntu.com|	NA|	NA
fonts-lato |	OFL-1.1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/f/fonts-lato/fonts-lato_2.0-1/copyright
fonts-lyx |	 BSD-3-Clause,BSL-1.0	|WICC4D CLI|	NA|	NA
gcc |	GPL-3	|WICC4D|	NA|	NA
gcc-4.9 |	GPL-3+	|openhub.net|	NA|	https://www.openhub.net/p/gcc
gcc-5 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
ghostscript |	 BSD-3-Clause,MIT,Zlib	|WICC4D CLI|	NA|	NA
gir1.2-glib-2.0 |	 BSD-2-Clause,MIT	|WICC4D CLI|	NA|	NA
graphviz |	 CPL-1.0,MIT,Zlib	|WICC4D CLI|	NA|	NA
gsfonts |	 GPL-2.0	|debian.org|	NA|	http://metadata.ftp-master.debian.org/changelogs/main/g/gsfonts/gsfonts_8.11+urwcyr1.0.7~pre44-4.3_copyright
ipvsadm |	 GPL-2.0	|WICC4D|	NA|	NA
javascript-common |	 GPL-2.0	|WICC4D CLI|	NA|	NA
jupyter-console |	BSD-Equivalent	|WICC4D |	NA|	NA
kmod |	LGPL-2.1+	|openhub.net|	NA|	https://www.openhub.net/p/kmod
ledit |	 BSD-3-Clause	|WICC4D CLI|	NA|	NA
libalgorithm-diff-perl |	Artistic 	|ubuntu.com|	Part of: Algorithm-Diff|	http://changelogs.ubuntu.com/changelogs/pool/main/liba/libalgorithm-diff-perl/libalgorithm-diff-perl_1.19.03-1/copyright
libalgorithm-diff-xs-perl |	Artistic	|ubuntu.com|	Part of: Algorithm-Diff-XS|	http://changelogs.ubuntu.com/changelogs/pool/main/liba/libalgorithm-diff-xs-perl/libalgorithm-diff-xs-perl_0.04-4build1/copyright
libalgorithm-merge-perl |	Artistic	|ubuntu.com|	Part of: Algorithm-Merge|	http://changelogs.ubuntu.com/changelogs/pool/main/liba/libalgorithm-merge-perl/libalgorithm-merge-perl_0.08-3/copyright
libapt-inst2.0 |	 GPL-2.0	|WICC4D CLI|	NA|	NA
libasan2 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
